.NET Framework 4.7.2
File read & write test with 28,61 MB done in 02:22:41:948!




|Write (0,017 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|Buffer 4096 Chunk 8192 (3663 times)|00:0169461|-75.57|00:0171831|-75.22|00:0157297|-77.32|00:0157337|-77.31|03:3260760|4695.88|03:4761728|4912.3|
|Buffer 4096 Chunk 16384 (1832 times)|00:0129980|-81.26|00:0129805|-81.28|00:0125022|-81.97|00:0118489|-82.92|01:8537659|2572.95|01:8464121|2562.35|
|Buffer 4096 Chunk 32768 (916 times)|00:0118521|-82.91|00:0105064|-84.85|00:0109228|-84.25|00:0098261|-85.83|01:0463794|1408.78|01:1112004|1502.24|
|Buffer 4096 Chunk 65536 (458 times)|00:0106196|-84.69|00:0100040|-85.58|00:0094772|-86.33|00:0090233|-86.99|00:7408149|968.18|00:7056133|917.43|
|Buffer 4096 Chunk 131072 (229 times)|00:0422430|-39.09|00:0096991|-86.01|00:0090437|-86.96|00:0101339|-85.39|00:5584498|705.23|00:5463371|687.77|
|Buffer 4096 Chunk 262144 (115 times)|00:0116521|-83.2|00:0097128|-86|00:0100358|-85.53|00:0099185|-85.7|00:4481888|546.24|00:4463423|543.58|
|Buffer 8192 Chunk 1024 (29297 times)|00:0186056|-73.17|00:0190267|-72.57|00:0173575|-74.97|00:0171026|-75.34|03:3723682|4762.63|03:7391767|5291.53|
|Buffer 8192 Chunk 2048 (14649 times)|00:0192109|-72.3|00:0654531|-5.62|00:0235931|-65.98|00:0168568|-75.69|03:5743324|5053.84|03:6132519|5109.96|
|Buffer 8192 Chunk 4096 (7325 times)|00:0210279|-69.68|00:0199009|-71.3|00:0169706|-75.53|00:0170759|-75.38|03:6705578|5192.59|03:4669149|4898.95|
|Buffer 8192 Chunk 8192 (3663 times)|00:0167459|-75.85|00:0177134|-74.46|00:0161187|-76.76|00:0161381|-76.73|03:6428644|5152.66|03:6743445|5198.05|
|Buffer 8192 Chunk 16384 (1832 times)|00:0131769|-81|00:0136175|-80.36|00:0118453|-82.92|00:0120254|-82.66|01:9205548|2669.25|01:9723990|2744.01|
|Buffer 8192 Chunk 32768 (916 times)|00:0114077|-83.55|00:0102364|-85.24|00:0098201|-85.84|00:0098014|-85.87|01:0667609|1438.17|01:1359374|1537.91|
|Buffer 8192 Chunk 65536 (458 times)|00:0104195|-84.98|00:0098354|-85.82|00:0089764|-87.06|00:0090441|-86.96|00:6889457|893.39|00:6612413|853.45|
|Buffer 8192 Chunk 131072 (229 times)|00:0108329|-84.38|00:0097122|-86|00:0090207|-86.99|00:0123960|-82.13|00:5534954|698.09|00:5551686|700.5|
|Buffer 8192 Chunk 262144 (115 times)|00:0116513|-83.2|00:0102330|-85.25|00:0102060|-85.28|00:0088072|-87.3|00:4222602|508.86|00:4111473|492.83|
|Buffer 16384 Chunk 1024 (29297 times)|00:0161280|-76.74|00:0147742|-78.7|00:0137358|-80.19|00:0134897|-80.55|01:9094056|2653.18|01:9797863|2754.66|
|Buffer 16384 Chunk 2048 (14649 times)|00:0176012|-74.62|00:0153401|-77.88|00:0131650|-81.02|00:0129587|-81.31|01:9668556|2736.01|02:0243042|2818.85|
|Buffer 16384 Chunk 4096 (7325 times)|00:0166984|-75.92|00:0164707|-76.25|00:0131048|-81.1|00:0148872|-78.53|01:9575320|2722.57|02:0296726|2826.59|
|Buffer 16384 Chunk 8192 (3663 times)|00:0148708|-78.56|00:0146924|-78.81|00:0139588|-79.87|00:0139218|-79.93|01:9353748|2690.62|01:9946322|2776.07|
|Buffer 16384 Chunk 16384 (1832 times)|00:0121383|-82.5|00:0132884|-80.84|00:0118400|-82.93|00:0117846|-83.01|01:7371380|2404.78|01:9408997|2698.59|
|Buffer 16384 Chunk 32768 (916 times)|00:0106796|-84.6|00:0115839|-83.3|00:0097844|-85.89|00:0101277|-85.4|01:0575039|1424.82|01:1242102|1521|
|Buffer 16384 Chunk 65536 (458 times)|00:0113628|-83.62|00:0100116|-85.56|00:0093709|-86.49|00:0094484|-86.38|00:7167205|933.44|00:6909359|896.26|
|Buffer 16384 Chunk 131072 (229 times)|00:0105392|-84.8|00:0107367|-84.52|00:0104622|-84.91|00:0090178|-87|00:5333732|669.07|00:4445751|541.03|
|Buffer 16384 Chunk 262144 (115 times)|00:0103179|-85.12|00:0122088|-82.4|00:0089060|-87.16|00:0089502|-87.09|00:4325676|523.72|00:4333690|524.88|
|Buffer 32768 Chunk 1024 (29297 times)|00:0133680|-80.72|00:0137655|-80.15|00:0113752|-83.6|00:0112508|-83.78|01:0917789|1474.24|01:0649102|1435.5|
|Buffer 32768 Chunk 2048 (14649 times)|00:0123125|-82.25|00:0122959|-82.27|00:0109581|-84.2|00:0110325|-84.09|01:0213768|1372.73|01:0778886|1454.21|
|Buffer 32768 Chunk 4096 (7325 times)|00:0121712|-82.45|00:0141624|-79.58|00:0107403|-84.51|00:0115719|-83.31|01:0982411|1483.56|01:0389579|1398.08|
|Buffer 32768 Chunk 8192 (3663 times)|00:0122575|-82.33|00:0127360|-81.64|00:0110052|-84.13|00:0108455|-84.36|01:0408285|1400.77|01:0260189|1379.42|
|Buffer 32768 Chunk 16384 (1832 times)|00:0141339|-79.62|00:0123296|-82.22|00:0112914|-83.72|00:0112361|-83.8|01:0889480|1470.16|01:0389807|1398.11|
|Buffer 32768 Chunk 32768 (916 times)|00:0111412|-83.94|00:0104938|-84.87|00:0098164|-85.85|00:0098853|-85.75|01:1500509|1558.26|01:0648962|1435.48|
|Buffer 32768 Chunk 65536 (458 times)|00:0111215|-83.96|00:0097307|-85.97|00:0089828|-87.05|00:0091797|-86.76|00:6778324|877.37|00:6634004|856.56|
|Buffer 32768 Chunk 131072 (229 times)|00:0109129|-84.26|00:0096516|-86.08|00:0090098|-87.01|00:0090107|-87.01|00:5445317|685.16|00:5444907|685.1|
|Buffer 32768 Chunk 262144 (115 times)|00:0102724|-85.19|00:0097799|-85.9|00:0089352|-87.12|00:0089313|-87.12|00:4555896|556.92|00:4222530|508.85|
|Buffer 65536 Chunk 1024 (29297 times)|00:0122606|-82.32|00:0123542|-82.19|00:0111746|-83.89|00:0113240|-83.67|00:7372037|962.98|00:7500591|981.51|
|Buffer 65536 Chunk 2048 (14649 times)|00:0111062|-83.99|00:0112538|-83.77|00:0101803|-85.32|00:0140636|-79.72|00:7185755|936.12|00:7333888|957.48|
|Buffer 65536 Chunk 4096 (7325 times)|00:0114104|-83.55|00:0112600|-83.76|00:0120944|-82.56|00:0105414|-84.8|00:7369408|962.6|00:6926603|898.75|
|Buffer 65536 Chunk 8192 (3663 times)|00:0128466|-81.48|00:0113916|-83.57|00:0110371|-84.09|00:0100059|-85.57|00:7463530|976.17|00:7315360|954.8|
|Buffer 65536 Chunk 16384 (1832 times)|00:0111689|-83.9|00:0136567|-80.31|00:0102985|-85.15|00:0103796|-85.03|00:7602648|996.23|00:7371442|962.89|
|Buffer 65536 Chunk 32768 (916 times)|00:0139050|-79.95|00:0121918|-82.42|00:0108653|-84.33|00:0108465|-84.36|00:7478885|978.38|00:7204416|938.81|
|Buffer 65536 Chunk 65536 (458 times)|00:0106862|-84.59|00:0107352|-84.52|00:0091362|-86.83|00:0089364|-87.11|00:7019172|912.1|00:6464219|832.08|
